id,telegram_id,text,datetime,category_id,channel_id,title,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,157314,"❗️Восстановление аммиакопровода Тольятти — Одесса займет от 1 до 3 месяцев при наличии доступа к объекту, заявили в МИД РФ.

В ведомстве отметили, что Россия предпримет усилия для выяснения обстоятельств подрыва аммиакопровода.",2023-06-07 11:40:06,,-1001394050290,Восстановление аммиакопровода займет до 3 месяцев.,,,
2,18940,"Дополнительные 39 миллионов рублей были выделены на социальные учреждения Марий Эл. Об этом заявили участники Съезда соцработников.

Семь автобусов для детских учреждений будут закуплены на 29 миллионов рублей. Оставшиеся 10 миллионов уйдут на улучшение материально-технической базы социальных учреждений, что необходимо для реализации пилотного проекта по созданию системы долговременного ухода.

Всего в этом году на обновление материально-технической базы и соцучреждений будет потрачено 53 миллиона рублей из бюджета республики, сообщаетесь пресс-служба Главы Марий Эл.",2023-06-07 11:34:56,,-1001098860759,Выделены дополнительные 39 млн рублей на соцучреждения Марий Эл.,,,
3,4868,"«Россия уничтожена санкциями»
                          Байден.
Ах-ха-ха:)))

https://t.me/rt_russian/160646",2023-06-07 11:03:05,,-1001797434593,"«Россия уничтожена санкциями»
                          Байден.
Ах-ха-ха:)))

https://t.me/rt_russian/160646",,,
4,157315,"❗️Правоохранители провели обыски в министерстве образования и науки Дагестана, сообщает ТАСС. 

В правоохранительных органах уточнили, что обыски прошли по уголовному делу, связанному с выплатами директорам школ.",2023-06-07 11:50:06,,-1001394050290,Обыски в минобразования Дагестана по делу о выплатах.,,,
16,157317,"Реконструкция пропускного пункта ""Верхний Ларс"" завершится к 15 июня — Мишустин",2023-06-07 12:10:25,,-1001394050290,"Реконструкция пропускного пункта ""Верхний Ларс"" завершится к 15 июня — Мишустин",,,
17,18941,"👧👦 В загородных детских лагерях Марий Эл в данный момент отдыхают 2335 детей, и ещё 12265 ребят посещают 175 пришкольных лагерей.

Всего на территории республики планируется открыть 200 оздоровительных организаций для детей и подростков, из которых в первую смену будут функционировать 192 лагеря, включая 13 загородных, 177 пришкольных и 2 палаточных.

Все организации, которые начнут работу в первую смену, имеют санитарно-эпидемиологические заключения от Роспотребнадзора. В некоторых лагерях, расположенных на берегу озер, дети смогут купаться, ведь их администрация получила разрешение от надзорной инстанции.",2023-06-07 12:07:40,,-1001098860759,В Марий Эл отдыхают более 23 тысяч детей,,,
22,157318,"**«Вести-Магадан» показывают, **[**в каких условиях](https://t.me/navideovidno/62218)**** живут пассажиры самолета, летевшего из Дели в Сан-Франциско, но аварийно севшего в аэропорту Магадана**

232 пассажира и 11 членов экипажа Boeing, которые планировали долететь до американского Сан-Франциско, неожиданно оказались в столице Колымы из-за неисправности двигателя.
Отремонтировать борт не удалось, поэтому большую часть вынужденных путешественников разместили недалеко от аэропорта — в образовательном учреждении поселка Сокол. Росавиация разрешила авиакомпании выслать за ними резервный борт, самолет уже в пути.",2023-06-07 12:15:06,,-1001394050290,"**«Вести-Магадан» показывают, **[**в каких условиях](https://t",,,
23,157319,"❗️30 человек скончались из-за отравления сидром, трое находятся в крайне тяжелом состоянии, всего пострадали 96 человек — Минздрав РФ",2023-06-07 12:16:20,,-1001394050290,"❗️30 человек скончались из-за отравления сидром, трое находятся в крайне тяжелом состоянии, всего пострадали 96 человек — Минздрав РФ",,,
24,157320,"❗️**Эрдоган провел телефонный разговор с Зеленским, обсудил идею создания ""международной комиссии"" по расследованию разрушения Каховской ГЭС

**Эрдоган заявил Зеленскому о возможности создания комиссии с участием ООН и экспертов для расследования разрушения ГЭС, сообщили в канцелярии турецкого лидера.",2023-06-07 12:20:28,,-1001394050290,"❗️**Эрдоган провел телефонный разговор с Зеленским, обсудил идею создания ""международной комиссии"" по расследованию разрушения Каховской ГЭС",,,
25,157321,"⚡️Возобновление переговорного процесса по Украине зависит от готовности к этому Киева, **оно возможно только с учетом признания новых геополитических реалий **— МИД РФ",2023-06-07 12:20:58,,-1001394050290,"⚡️Возобновление переговорного процесса по Украине зависит от готовности к этому Киева, **оно возможно только с учетом признания новых геополитических реалий **— МИД РФ",,,
26,157322,"⚡️**Секретарь Совбеза РФ Патрушев заявил, что подрыв плотины Каховской ГЭС осуществила Украина

**Патрушев заявил, что Киев сперва произвел масштабный сброс воды на ДнепроГЭС, а затем нанес удар по Каховской ГЭС",2023-06-07 12:22:03,,-1001394050290,"⚡️**Секретарь Совбеза РФ Патрушев заявил, что подрыв плотины Каховской ГЭС осуществила Украина

**Патрушев заявил, что Киев сперва произвел масштабный сброс воды на ДнепроГЭС, а затем нанес удар по Каховской ГЭС",,,
27,157323,"⚡️Киевский нацистский режим, созданный США и Британией, необходимо сменить, придав на практике Украине статус нейтрального государства — Патрушев",2023-06-07 12:23:53,,-1001394050290,"⚡️Киевский нацистский режим, созданный США и Британией, необходимо сменить, придав на практике Украине статус нейтрального государства — Патрушев",,,
28,157324,"**Сторонники идеи ""золотого миллиарда"" в стремлении сократить население Земли, которое они никогда не скрывали, дошли до Украины

**Об этом заявила официальный представитель МИД РФ Мария Захарова в среду на брифинге.",2023-06-07 12:30:01,,-1001394050290,"**Сторонники идеи ""золотого миллиарда"" в стремлении сократить население Земли, которое они никогда не скрывали, дошли до Украины",,,
29,157325,❗️Россия начинает создание в Киргизии русскоязычных школ — Мишустин,2023-06-07 12:35:20,,-1001394050290,❗️Россия начинает создание в Киргизии русскоязычных школ — Мишустин,,,
30,4869,"Это похоже на сформировавшуюся цель.
Четкую, понятную цель.

https://t.me/bbbreaking/157323",2023-06-07 12:36:17,,-1001797434593,Это похоже на сформировавшуюся цель,,,
31,157326,"МЧС РФ доставит в затопленные районы Херсонской области электростанции, мотопомпы и тепловые пушки — ведомство",2023-06-07 12:40:23,,-1001394050290,"МЧС РФ доставит в затопленные районы Херсонской области электростанции, мотопомпы и тепловые пушки — ведомство",,,
32,157327,"Эрдоган провел телефонные переговоры с Путиным, обсуждена ситуация на Украине, сообщила канцелярия турецкого президента.

Эрдоган в разговоре с Путиным выступил с инициативой создания международной комиссии по Каховской ГЭС.",2023-06-07 12:49:20,,-1001394050290,"Эрдоган провел телефонные переговоры с Путиным, обсуждена ситуация на Украине, сообщила канцелярия турецкого президента",,,
33,157328,"Москва дорожит братскими отношениями с Ереваном, которые носят стратегический и союзнический характер, заявил премьер-министр РФ Михаил Мишустин.",2023-06-07 12:50:22,,-1001394050290,"Москва дорожит братскими отношениями с Ереваном, которые носят стратегический и союзнический характер, заявил премьер-министр РФ Михаил Мишустин.",,,
34,4870,"В России МНОГО хороших, душевных людей. И каюсь, до начала СВО, я об этом и не подозревал…

https://t.me/BARS011/2236",2023-06-07 12:52:59,,-1001797434593,"В России МНОГО хороших, душевных людей",,,
